code,name,market,unknown1,unknown2,unknown3,price,bonus1,bonus2
399922,中证红利,0,100,143351,2,3821.602,0,0
399925,基本面50,0,100,147906,2,4024.056,0,0
399928,中证能源,0,100,34202,2,1875.348,0,0
399931,中证可选,0,100,64002,2,3992.211,0,0
399932,中证消费,0,100,25965,2,9926.057,0,0
399933,中证医药,0,100,40451,2,8312.229,0,0
399934,中证金融,0,100,238267,2,5426.755,0,0
399935,中证信息,0,100,111023,2,2927.990,0,0
399939,民企200,0,100,200443,2,1295.289,0,0
399944,内地资源,0,100,71724,2,2163.638,0,0
399950,300基建,0,100,40005,2,1739.034,0,0
399951,300银行,0,100,81328,2,5756.141,0,0
399952,300地产,0,100,17279,2,7177.607,0,0
399957,300运输,0,100,16834,2,1187.964,0,0
399958,创业成长,0,100,48724,2,831.984,0,0
399959,军工指数,0,100,18632,2,855.414,0,0
399961,中证上游,0,100,72545,2,2093.631,0,0
399963,中证下游,0,100,154415,2,4357.437,0,0
399964,中证新兴,0,100,142829,2,6046.900,0,0
399965,800地产,0,100,39083,2,5418.957,0,0
399966,800非银,0,100,110971,2,4955.799,0,0
399967,中证军工,0,100,17431,2,6555.619,0,0
399969,300非周,0,100,203907,2,3297.276,0,0
399970,移动互联,0,100,109993,2,1698.107,0,0
399971,中证传媒,0,100,39504,2,1093.332,0,0
399972,300深市,0,100,161229,2,3492.412,0,0
399973,中证国防,0,100,11272,2,969.588,0,0
399974,国企改革,0,100,125891,2,1223.788,0,0
399975,证券公司,0,100,94768,2,570.854,0,0
399976,CS新能车,0,100,19545,2,1351.541,0,0
399977,内地低碳,0,100,43354,2,922.667,0,0
399978,医药100,0,100,51008,2,10401.153,0,0
399979,大宗商品,0,100,101332,2,3100.803,0,0
399982,500等权,0,100,308082,2,5024.370,0,0
399983,地产等权,0,100,17279,2,5711.042,0,0
399986,中证银行,0,100,89306,2,6115.868,0,0
399987,中证酒,0,100,9992,2,2674.790,0,0
399989,中证医疗,0,100,13642,2,6251.611,0,0
